game_name,publisher,developer,platform_id,rating,year,genre,game_id
Buzz! The Mega Quiz,Sony Computer Entertainment,,7,,2007.0,Misc,2365
Star Wars: Rebel Assault II - The Hidden Empire,CTO SpA,,13,,1996.0,Shooter,2366
Monster 4X4: World Circuit,Ubisoft,Ubisoft,1,E,2006.0,Racing,2367
Far Cry: Primal,Ubisoft,Ubisoft Montreal,18,M,2016.0,Action,2368
Resident Evil: Revelations,Capcom,Capcom,11,M,2012.0,Action,2369
Sonic Chronicles: The Dark Brotherhood,Sega,BioWare,4,E,2008.0,Role-Playing,2370
Star Wars: The Force Unleashed,LucasArts,n-Space,4,T,2008.0,Action,2371
Grand Theft Auto IV,Take-Two Interactive,Rockstar Toronto,15,M,2008.0,Action,2372
Rock Band 3,MTV Games,Harmonix Music Systems,5,T,2010.0,Misc,2373
WWE SmackDown vs. Raw 2011,THQ,Yuke's,5,T,2010.0,Fighting,2374
ESPN NHL 2K5,Global Star,Kush Games,7,E,2004.0,Sports,2375
Borderlands: The Handsome Collection,Take-Two Interactive,Gearbox Software,10,M,2015.0,Shooter,2376
Crimson Skies: High Road to Revenge,Microsoft Game Studios,FASA Studio,14,T,2003.0,Simulation,2377
Madden NFL 08,Electronic Arts,EA Tiburon,1,E,2007.0,Sports,2378
Spec Ops: Ranger Elite,TalonSoft,Runecraft,13,T,2001.0,Shooter,2379
Gex,Crystal Dynamics,,13,,1995.0,Platform,2380
F1 2009,Codemasters,Sumo Digital,1,E,2009.0,Racing,2381
Derby Stallion II,ASCII Entertainment,,8,,1994.0,Sports,2382
Tom Clancy's Ghost Recon: Island Thunder,Ubisoft,Red Storm Entertainment,14,M,2003.0,Shooter,2383
Sleeping Dogs,Square Enix ,United Front Games,5,M,2012.0,Action,2384
Kingdoms of Amalur: Reckoning,Electronic Arts,Big Huge Games,5,M,2012.0,Role-Playing,2385
Metal Gear Ac!d,Konami Digital Entertainment,,17,,2004.0,Strategy,2386
Need for Speed: V-Rally,Infogrames,,13,,1997.0,Racing,2387
Monster Strike 3DS,"mixi, Inc",,11,,2015.0,Action,2388
Kingdom Hearts Re: Chain of Memories,Square Enix,Jupiter Corporation,7,E10+,2008.0,Role-Playing,2389
Phantasy Star Portable 2,Sega,Alfa System,17,T,2009.0,Role-Playing,2390
Peppa Pig: The Game,Pinnacle,,4,,2008.0,Misc,2391
Michael Jackson: The Experience,Ubisoft,Ubisoft Montreal,5,E10+,2011.0,Misc,2392
NFL GameDay '97,Sony Computer Entertainment,,13,,1996.0,Sports,2393
LittleBigPlanet Karting,Sony Computer Entertainment,"Media Molecule, United Front Games",6,E,2012.0,Action,2394
Tony Hawk's Project 8,Activision,Shaba Games,7,T,2006.0,Sports,2395
NHL 2000,Electronic Arts,,13,,1998.0,Sports,2396
GRID,Codemasters,Codemasters,5,E,2008.0,Racing,2397
DiRT,Codemasters,Codemasters,5,E,2007.0,Racing,2398
Buzz! Master Quiz,Sony Computer Entertainment,,17,,2008.0,Misc,2399
Red Faction: Guerrilla,THQ,Volition Inc.,5,M,2009.0,Shooter,2400
Fight Night Round 2,Electronic Arts,EA Sports,7,T,2005.0,Fighting,2401
Conflict: Desert Storm,SCi,SCi,14,T,2002.0,Shooter,2402
LEGO Jurassic World,Warner Bros. Interactive Entertainment,TT Games,5,E10+,2015.0,Action,2403
Triple Play 2002,Electronic Arts,Pandemic Studios,7,E,2002.0,Sports,2404
Cooking Mama: World Kitchen,505 Games,Cooking Mama Limited,1,E,2008.0,Simulation,2405
Brothers in Arms: Hell's Highway,Ubisoft,Gearbox Software,5,M,2008.0,Shooter,2406
Vagrant Story,Crave Entertainment,SquareSoft,13,T,2000.0,Role-Playing,2407
Warriors Orochi,Tecmo Koei,Omega Force,7,T,2007.0,Action,2408
Enduro,Quelle,,16,,1982.0,Misc,2409
Crysis 3,Electronic Arts,Crytek,6,M,2013.0,Shooter,2410
Mercenaries 2: World in Flames,Electronic Arts,Pandemic Studios,6,T,2008.0,Shooter,2411
SingStar '90s,Sony Computer Entertainment,SCEE,7,T,2007.0,Misc,2412
Wizards of Waverly Place,Disney Interactive Studios,Disney Interactive Studios,4,E,2009.0,Misc,2413
Ghostbusters: The Video Game,Atari,Red Fly Studio,1,E10+,2009.0,Action,2414
Dragon Quest VIII: Journey of the Cursed King,Square Enix,Cygames,11,T,2015.0,Role-Playing,2415
Beijing 2008,Sega,,6,,2008.0,Sports,2416
Guitar Hero Live,Activision,FreeStyleGames,10,T,2015.0,Misc,2417
Endless Ocean: Blue World,Nintendo,Arika,1,E10+,2009.0,Simulation,2418
Winning Eleven: Pro Evolution Soccer 2007,Konami Digital Entertainment,KCET,17,E,2006.0,Sports,2419
Rocky,Rage Software,Rage Software,7,T,2002.0,Fighting,2420
Ford Racing,Empire Interactive,Toolbox Design,13,E,2001.0,Racing,2421
Madden Football 64,Electronic Arts,,12,,1997.0,Sports,2422
Guitar Hero: Warriors of Rock,Activision,Neversoft Entertainment,5,T,2010.0,Misc,2423
MLB 99,Sony Computer Entertainment,,13,,1998.0,Sports,2424
Lemmings,Sony Computer Entertainment,Team 17,17,E,2006.0,Puzzle,2425
Dynasty Warriors 4: Xtreme Legends,Tecmo Koei,Omega Force,7,T,2003.0,Action,2426
Pictionary,THQ,Page 44 Studios,1,E,2010.0,Puzzle,2427
Army Men: Air Attack,3DO,,13,,1999.0,Action,2428
FIFA Soccer 08,Electronic Arts,,4,,2007.0,Sports,2429
2010 FIFA World Cup South Africa,Electronic Arts,Electronic Arts,5,E,2010.0,Sports,2430
Tomb Raider: Anniversary,Eidos Interactive,Crystal Dynamics,1,T,2007.0,Action,2431
NBA 2K8,Take-Two Interactive,Visual Concepts,5,E,2007.0,Sports,2432
Street Fighter Alpha 2,Virgin Interactive,,13,,1996.0,Fighting,2433
Tiger Woods PGA Tour 2005,Electronic Arts,EA Sports,14,E,2004.0,Sports,2434
Castlevania III: Dracula's Curse,Konami Digital Entertainment,,2,,1989.0,Platform,2435
LEGO Jurassic World,Warner Bros. Interactive Entertainment,TT Games,6,E10+,2015.0,Action,2436
Kingdoms of Amalur: Reckoning,Electronic Arts,Big Huge Games,6,M,2012.0,Role-Playing,2437
Rampage World Tour,GT Interactive,,13,,1997.0,Action,2438
Dragon Ball Z: Burst Limit,Atari,"Dimps Corporation, Namco Bandai Games",6,T,2008.0,Fighting,2439
Gold's Gym: Dance Workout,Ubisoft,Land Ho!,1,E10+,2010.0,Sports,2440
Tekken Tag Tournament 2,Namco Bandai Games,Namco Bandai Games,6,T,2012.0,Fighting,2441
Ninja Gaiden Sigma 2,Ubisoft Annecy,Team Ninja,6,M,2009.0,Action,2442
Ratatouille,THQ,Asobo Studio,7,E,2007.0,Action,2443
NFL GameDay,Sony Computer Entertainment,,13,,1995.0,Sports,2444
Burnout 2: Point of Impact,Acclaim Entertainment,Criterion Games,7,E,2002.0,Racing,2445
Wii Fit U,Nintendo,Nintendo,19,E,2013.0,Sports,2446
Street Fighter EX3,Virgin Interactive,Arika,7,T,2000.0,Fighting,2447
The Legendary Starfy,Nintendo,TOSE,4,E,2008.0,Platform,2448
NCAA Football 11,Electronic Arts,EA Tiburon,6,E,2010.0,Sports,2449
The House of the Dead: Overkill,Sega,Headstrong Games,1,M,2009.0,Shooter,2450
Army of Two: The 40th Day,Electronic Arts,EA Montreal,6,M,2010.0,Shooter,2451
Darksiders II,THQ,Vigil Games,6,M,2012.0,Action,2452
Spider-Man 2,Activision,Treyarch,20,T,2004.0,Action,2453
The Lord of the Rings: War in the North,Warner Bros. Interactive Entertainment,Snowblind Studios,5,M,,Action,2454
 Tales of Xillia 2,Namco Bandai Games,Bandai Namco Games,6,T,2012.0,Role-Playing,2455
Ghostbusters: The Video Game,Sony Computer Entertainment,Terminal Reality,6,T,2009.0,Action,2456
The Incredibles,THQ,Heavy Iron Studios,20,T,2004.0,Action,2457
Xenoblade Chronicles X,Nintendo,Monolith Soft,19,T,2015.0,Role-Playing,2458
NBA 2K10,Take-Two Interactive,Visual Concepts,6,E,2009.0,Sports,2459
Petz Dogz Fashion,Ubisoft,Ubisoft,4,E,2008.0,Simulation,2460
ATV Quad Power Racing 2,Acclaim Entertainment,Acclaim,7,E,2003.0,Racing,2461
Final Fantasy,SquareSoft,,2,,1987.0,Role-Playing,2462
Skate 2,Electronic Arts,EA Black Box,6,T,2009.0,Sports,2463
Rocket Power: Team Rocket Rescue,THQ,,13,,2001.0,Sports,2464
Big Mutha Truckers,Empire Interactive,Eutechnyx,7,T,2002.0,Racing,2465
The Evil Within,Bethesda Softworks,Tango Gameworks,6,M,2014.0,Action,2466
Rogue Galaxy,Sony Computer Entertainment,Level 5,7,T,2005.0,Role-Playing,2467
ESPN College Hoops 2K5,Sega,Visual Concepts,7,E,2004.0,Sports,2468
NCAA Football 14,Electronic Arts,EA Tiburon,6,E,2013.0,Sports,2469
Harry Potter and the Order of the Phoenix,Electronic Arts,Visual Impact,4,E,2007.0,Action,2470
Sniper Elite V2,505 Games,Rebellion,5,M,2012.0,Shooter,2471
Metroid: Zero Mission,Nintendo,Nintendo,9,E,2004.0,Adventure,2472
Ben 10: Protector of Earth,D3Publisher,High Voltage Software,7,E10+,2007.0,Action,2473
Burnout Legends,Electronic Arts,Criterion Games,17,E10+,2005.0,Racing,2474
Q*bert,Atari,,13,,1999.0,Puzzle,2475
Blazing Angels: Squadrons of WWII,Ubisoft,Ubisoft,1,T,2007.0,Simulation,2476
Madden NFL 09 All-Play,Electronic Arts,EA Tiburon,1,E,2008.0,Sports,2477
Ace Combat 3: Electrosphere,Sony Computer Entertainment,,13,,1999.0,Simulation,2478
Dynasty Warriors 2,THQ,Omega Force,7,T,2000.0,Action,2479
Madden NFL 07,Unknown,EA Tiburon,17,E,,Sports,2480
Time Crisis 4,Namco Bandai Games,Nex Entertainment,6,T,2007.0,Shooter,2481
Duke Nukem Forever,Take-Two Interactive,"Gearbox Software, 3D Realms",5,M,2011.0,Shooter,2482
Lizzie McGuire 2: Lizzie Diaries,Disney Interactive Studios,Artificial Mind and Movement,9,E,2004.0,Action,2483
FIFA Soccer World Championship,Electronic Arts,,7,,2000.0,Sports,2484
NCAA Football 12,Electronic Arts,EA Sports,6,E,2011.0,Sports,2485
Brute Force,Microsoft Game Studios,Digital Anvil,14,M,2003.0,Shooter,2486
Tiger Woods PGA Tour 11,Electronic Arts,EA Sports,6,E,2010.0,Sports,2487
Yu-Gi-Oh! Dark Duel Stories,Konami Digital Entertainment,,3,,2000.0,Misc,2488
WWE SmackDown vs. Raw 2009,THQ,Yuke's,1,T,2008.0,Fighting,2489
The Game of Life,Unknown,,13,,1998.0,Misc,2490
Mega Man Legends,Capcom,,13,,1997.0,Adventure,2491
Sly 3: Honor Among Thieves,Sony Computer Entertainment,Sucker Punch,7,E10+,2005.0,Platform,2492
MLB SlugFest 20-03,Unknown,Midway,7,E,,Sports,2493
Need for Speed: Nitro,Electronic Arts,EA Montreal,1,E10+,2009.0,Racing,2494
Street Fighter X Tekken,Capcom,Capcom,6,T,2012.0,Fighting,2495
MediEvil,Sony Computer Entertainment,,13,,1998.0,Platform,2496
Casper,Interplay,,13,,1996.0,Adventure,2497
Sid Meier's Civilization Revolution,Take-Two Interactive,Firaxis Games,5,E10+,2008.0,Strategy,2498
Tales of the Abyss,Namco Bandai Games,Bandai Namco Games,11,T,2011.0,Role-Playing,2499
Dragon Age II,Electronic Arts,BioWare,6,M,2011.0,Action,2500
Call of Duty: Modern Warfare 3,Activision,"Treyarch, Sledgehammer Games",1,M,2011.0,Shooter,2501
God of War Saga,Sony Computer Entertainment,"Ready at Dawn, SCE Santa Monica",6,M,2012.0,Action,2502
Scooby-Doo! First Frights,Warner Bros. Interactive Entertainment,,4,,2009.0,Action,2503
James Bond 007: Nightfire,Electronic Arts,Eurocom Entertainment Software,14,T,2002.0,Shooter,2504
Tony Hawk's Pro Skater 3,Activision,Neversoft Entertainment,20,T,2001.0,Sports,2505
Marvel: Ultimate Alliance,Activision,Raven Software,7,T,2006.0,Role-Playing,2506
DJ Hero 2,Activision,FreeStyleGames,5,T,2010.0,Misc,2507
Harvest Moon: Tree of Tranquility,Rising Star Games,Marvelous Entertainment,1,E,2007.0,Simulation,2508
Tony Hawk's Underground 2 Remix,Activision,Shaba Games,17,T,2005.0,Sports,2509
Need for Speed: Hot Pursuit 2,Electronic Arts,EA Seattle,14,E,2002.0,Racing,2510
Killer Instinct Gold,Nintendo,,12,,1996.0,Fighting,2511
Clu Clu Land,Nintendo,,2,,1984.0,Puzzle,2512
Karaoke Revolution Glee,Konami Digital Entertainment,Konami,1,T,2010.0,Misc,2513
I Spy: Fun House,Scholastic Inc.,Big Blue Bubble Inc.,4,E,2007.0,Puzzle,2514
Amped: Freestyle Snowboarding,Microsoft Game Studios,Indie Built,14,E,2001.0,Sports,2515
The Price is Right,Ubisoft,Ludia Inc.,1,E,2008.0,Misc,2516
Custer's Revenge,Mystique,,16,,1981.0,Action,2517
Stranglehold,Midway Games,Midway,5,M,2007.0,Shooter,2518
Rocket Power: Beach Bandits,THQ,Evolution Games,7,E,2002.0,Platform,2519
Shin Megami Tensei: Persona 4,Atlus,Atlus Co.,7,M,2008.0,Role-Playing,2520
Devil May Cry HD Collection,Capcom,"Capcom, Pipeworks Software, Inc.",6,M,2012.0,Action,2521
Thief (2014),Square Enix,,10,,2014.0,Action,2522
The Lord of the Rings: War in the North,Warner Bros. Interactive Entertainment,Snowblind Studios,6,M,,Action,2523
Dragon Warrior III,Enix Corporation,,3,,2000.0,Role-Playing,2524
Ready 2 Rumble Boxing: Round 2,Midway Games,Midway,7,T,2000.0,Fighting,2525
Dance Central 3,Microsoft Game Studios,Harmonix Music Systems,5,T,2012.0,Misc,2526
Kamaitachi no Yoru,ChunSoft,,8,,1994.0,Adventure,2527
Imagine: Rock Star,Ubisoft,Gevo Entertainment,4,E,2008.0,Simulation,2528
Tales of Destiny II,Namco Bandai Games,Namco,13,T,2000.0,Role-Playing,2529
Super Bomberman 2,Hudson Soft,,8,,1994.0,Puzzle,2530
NASCAR 2001,Electronic Arts,Black Box,13,E,2000.0,Racing,2531
Twisted Metal (2012),Sony Computer Entertainment,,6,,2012.0,Action,2532
The Legend of Zelda: Four Swords Adventures,Nintendo,Nintendo,20,E,2004.0,Action,2533
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,Konami Digital Entertainment,,13,,1999.0,Sports,2534
MediEvil: Resurrection,Sony Computer Entertainment,SCEE,17,T,2005.0,Adventure,2535
Valkyrie Profile,Enix Corporation,Tri-Ace,13,T,1999.0,Role-Playing,2536
Shaun White Snowboarding,Ubisoft,Ubisoft Montreal,5,T,,Sports,2537
Patapon,Sony Computer Entertainment,SCE Japan Studio,17,E,2007.0,Misc,2538
Final Fantasy Type-0,Unknown,Square Enix,17,,2011.0,Role-Playing,2539
Mega Man,Capcom,,2,,1987.0,Platform,2540
Army Men: Sarge's Heroes,3DO,,12,,1999.0,Action,2541
Pro Evolution Soccer 2010,Konami Digital Entertainment,Konami,5,E,2009.0,Sports,2542
Tom Clancy's Rainbow Six 3,Ubisoft,Ubisoft Shanghai,7,M,2004.0,Shooter,2543
Madden NFL 25,Electronic Arts,EA Sports,18,E,2013.0,Sports,2544
NCAA Football 10,Electronic Arts,EA Tiburon,6,E,2009.0,Sports,2545
EarthBound,Nintendo,,8,,1994.0,Role-Playing,2546
The Next Tetris,Atari,,13,,1998.0,Puzzle,2547
Guitar Hero: Warriors of Rock,Activision,Neversoft Entertainment,6,T,2010.0,Misc,2548
Battle of Giants: Dinosaurs,Ubisoft,Ubisoft Quebec,4,E,2008.0,Strategy,2549
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,Konami Digital Entertainment,,13,,1998.0,Sports,2550
Final Fantasy XI: Wings of the Goddess,Square Enix,Square Enix,7,T,2007.0,Role-Playing,2551
The Sims 2,Electronic Arts,Maxis,7,T,2005.0,Simulation,2552
Dragon Ball: Raging Blast 2,Namco Bandai Games,Spike,6,T,2010.0,Fighting,2553
SingStar Vol. 2,Sony Computer Entertainment,SCEE London Studio,6,T,2008.0,Misc,2554
Who wants to be a millionaire,Eidos Interactive,,13,,2000.0,Misc,2555
Yakuza,Sega,Amusement Vision,7,M,2005.0,Action,2556
Disney's The Little Mermaid: Ariel's Undersea Adventure,Disney Interactive Studios,Gorilla Systems,4,E,2006.0,Action,2557
Star Wars Rogue Squadron III: Rebel Strike,LucasArts,Factor 5,20,T,2003.0,Simulation,2558
Moto Racer,Electronic Arts,,13,,1997.0,Racing,2559
Hitman: Contracts,Eidos Interactive,Io Interactive,7,M,2004.0,Shooter,2560
Professor Layton vs Phoenix Wright: Ace Attorney,Level 5,Level 5,11,T,2012.0,Puzzle,2561
Ben 10: Alien Force,Koch Media,Monkey Bar Games,1,E10+,2008.0,Action,2562
Final Fantasy Anthology,Square EA,SquareSoft,13,T,1999.0,Role-Playing,2563
DiRT 2,Codemasters,Codemasters,5,T,2009.0,Racing,2564
Prince of Persia: Warrior Within,Ubisoft,Ubisoft Montreal,14,M,2004.0,Action,2565
Deca Sports 2,Hudson Soft,CAProduction,1,E,2009.0,Sports,2566
Killzone: Mercenary,Sony Computer Entertainment Europe,Guerilla Cambridge,23,M,2013.0,Shooter,2567
Pro Evolution Soccer 2010,Konami Digital Entertainment,Konami,17,E,2009.0,Sports,2568
Guitar Hero: Metallica,Activision,Neversoft Entertainment,5,T,2009.0,Misc,2569
Final Fantasy X / X-2 HD Remaster,Square Enix,Virtuos,23,T,2013.0,Role-Playing,2570
Super Robot Taisen α,Banpresto,,13,,2000.0,Strategy,2571
Need for Speed: Hot Pursuit 2,Electronic Arts,EA Seattle,20,E,2002.0,Racing,2572
PES 2009: Pro Evolution Soccer,Konami Digital Entertainment,,17,,,Sports,2573
Hasbro Family Game Night 3,Electronic Arts,Electronic Arts,1,E,2010.0,Misc,2574
Tales of Destiny 2,Namco Bandai Games,,7,,2002.0,Role-Playing,2575
Capcom's Soccer Shootout,Nintendo,,8,,1993.0,Sports,2576
Rayman Raving Rabbids 2,Ubisoft,Ubisoft Paris,4,E10+,2007.0,Misc,2577
The Sims 2: Pets,Electronic Arts,Maxis,17,T,2006.0,Simulation,2578
Alien,20th Century Fox Video Games,,16,,1981.0,Action,2579
Dragon Ball Z: Budokai Tenkaichi 2,Atari,Spike,7,T,2006.0,Fighting,2580
Guitar Hero: Aerosmith,Activision,BudCat,7,T,2008.0,Misc,2581
Star Wars The Clone Wars: Republic Heroes,LucasArts,Krome Studios,1,T,2009.0,Action,2582
Ridge Racer,Sony Computer Entertainment,,13,,1994.0,Racing,2583
pro evolution soccer 2011,Konami Digital Entertainment,Konami,17,E,2010.0,Sports,2584
Harvest Moon: A Wonderful Life,Ubisoft,Marvelous,20,E,2003.0,Role-Playing,2585
All Star Cheer Squad,THQ,Gorilla Games,1,E,2008.0,Sports,2586
Momotarou Dentetsu 7,Hudson Entertainment,,13,,1997.0,Simulation,2587
DmC: Devil May Cry,Capcom,Ninja Theory,6,M,2013.0,Action,2588
Motocross Mania,Take-Two Interactive,Deibus Studios,13,E,2001.0,Racing,2589
EA Sports Active NFL Training Camp,Electronic Arts,EA Sports,1,E,2010.0,Sports,2590
Darksiders II,THQ,Vigil Games,5,M,2012.0,Action,2591
Need for Speed Rivals,Electronic Arts,Ghost Games,5,E10+,2013.0,Racing,2592
[Prototype 2],Activision,Radical Entertainment,5,M,2012.0,Action,2593
Mega Man 5,Capcom,,2,,1992.0,Platform,2594
WCW Mayhem,Electronic Arts,,12,,1999.0,Fighting,2595
Dance Dance Revolution SuperNOVA 2,Konami Digital Entertainment,Konami,7,E10+,2007.0,Simulation,2596
Armored Core 2,Ubisoft,From Software,7,T,2000.0,Simulation,2597
Dragon Quest Monsters 2,Square Enix,,11,,2014.0,Role-Playing,2598
The Godfather II,Electronic Arts,EA Redwood Shores,5,M,2009.0,Action,2599
Dragon's Dogma,Capcom,Capcom,5,M,2012.0,Role-Playing,2600
Pro Evolution Soccer 2016,Konami Digital Entertainment,Konami,10,E,2015.0,Sports,2601
The Amazing Spider-Man (Console Version),Activision,,6,,2012.0,Action,2602
Major League Baseball Featuring Ken Griffey Jr,Nintendo,,12,,1998.0,Sports,2603
Rare Replay,Microsoft Game Studios,Rare Ltd.,18,M,2015.0,Misc,2604
Band Hero,Activision,Neversoft Entertainment,5,E10+,2009.0,Misc,2605
NCAA Football 08,Electronic Arts,EA Tiburon,7,E,2007.0,Sports,2606
FIFA Soccer 2004,Electronic Arts,EA Canada,14,E,2003.0,Sports,2607
The Sims 2: Castaway,Electronic Arts,Maxis,17,E10+,2007.0,Simulation,2608
Star Ocean: The Last Hope,Square Enix,"Square Enix, Tri-Ace",5,T,2009.0,Role-Playing,2609
Sniper: Ghost Warrior,City Interactive,City Interactive,6,M,2011.0,Shooter,2610
Invizimals,Sony Computer Entertainment,Novarama,17,E10+,2009.0,Strategy,2611
Forza Horizon 2,Microsoft Game Studios,"Sumo Digital, Playground Games",5,E10+,2014.0,Racing,2612
The 7th Guest,Virgin Interactive,Trilobyte,15,T,1992.0,Adventure,2613
WWE 2K15,Take-Two Interactive,Yuke's,6,T,2014.0,Sports,2614
Too Human,Microsoft Game Studios,Silicon Knights,5,T,2008.0,Role-Playing,2615
Yars' Revenge,Atari,,16,,1982.0,Shooter,2616
Tiger Woods PGA Tour 10,Electronic Arts,EA Tiburon,6,E,2009.0,Sports,2617
Secret Agent Barbie: Royal Jewels Mission,Vivendi Games,Digital Illusions,9,E,2002.0,Platform,2618
Doom,Infogrames,,13,,1994.0,Shooter,2619
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,Ubisoft Shanghai,5,M,2006.0,Action,2620
Buzz! The Hollywood Quiz,Sony Computer Entertainment,,7,,2007.0,Misc,2621
Naruto Shippuden: Ultimate Ninja Storm 2,Namco Bandai Games,CyberConnect2,5,T,2010.0,Fighting,2622
Golden Sun: Dark Dawn,Nintendo,Camelot Software Planning,4,E10+,2010.0,Role-Playing,2623
Fight Night Champion,Electronic Arts,EA Canada,5,M,2011.0,Fighting,2624
Marvel vs. Capcom: Clash of Super Heroes,Capcom,,13,,1999.0,Fighting,2625
Dead Island: Riptide,Deep Silver,Techland,5,M,2013.0,Action,2626
Madden NFL 16,Electronic Arts,EA Sports,6,E,2015.0,Sports,2627
Battle Stations,Electronic Arts,,13,,1997.0,Strategy,2628
Star Wars The Clone Wars: Jedi Alliance,LucasArts,LucasArts,4,E10+,2008.0,Action,2629
The World Ends With You,Square Enix,Jupiter Corporation,4,T,2007.0,Role-Playing,2630
Drawn to Life,THQ,5TH Cell,4,E,2007.0,Action,2631
Sid Meier's Civilization Revolution,Take-Two Interactive,Firaxis Games,6,E10+,2008.0,Strategy,2632
NBA 2K7,Take-Two Interactive,"Kush Games, Visual Concepts",7,E,2006.0,Sports,2633
Torneko no Daibouken: Fushigi no Dungeon,ChunSoft,,8,,1993.0,Role-Playing,2634
Jr. Pac-Man,Atari,,16,,1983.0,Puzzle,2635
James Bond 007: Nightfire,Electronic Arts,Eurocom Entertainment Software,20,T,2002.0,Shooter,2636
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Nintendo,,19,,2013.0,Sports,2637
Goldeneye 007: Reloaded,Activision,Eurocom Entertainment Software,6,T,2011.0,Shooter,2638
NBA ShootOut 98,Sony Computer Entertainment,,13,,1998.0,Sports,2639
Rayman Origins,Ubisoft,UBlart Montpellier,5,E10+,2011.0,Platform,2640
Galaxian,Atari,,16,,1982.0,Shooter,2641
Aliens: Colonial Marines,Sega,Gearbox Software,5,M,2013.0,Shooter,2642
Lips,Microsoft Game Studios,iNiS,5,T,2008.0,Misc,2643
Andretti Racing,Electronic Arts,,13,,1996.0,Racing,2644
Caesars Palace 2000: Millennium Gold Edition,Interplay,,13,,2000.0,Misc,2645
Air Raid,Men-A-Vision,,16,,1981.0,Action,2646
MadWorld,Sega,PlatinumGames,1,M,2009.0,Action,2647
Need for Speed: ProStreet,Electronic Arts,EA Games,17,E,2008.0,Racing,2648
Perfect Dark Zero,Microsoft Game Studios,Rare Ltd.,5,M,2005.0,Shooter,2649
Marvel Nemesis: Rise of the Imperfects,Electronic Arts,"EA Canada, Nihilistic",7,T,2005.0,Fighting,2650
Boxing,Activision,,16,,1980.0,Fighting,2651
Need for Speed: Porsche Unleashed,Electronic Arts,Eden Studios,13,E,1999.0,Racing,2652
ABBA: You Can Dance,Ubisoft,Ubisoft,1,E10+,2011.0,Misc,2653
Avatar: The Game,Ubisoft,,5,,2009.0,Action,2654
Resident Evil: Operation Raccoon City,Capcom,Slant Six,5,M,2012.0,Action,2655
UFC Personal Trainer: The Ultimate Fitness System,THQ,THQ,5,E,2011.0,Sports,2656
Crystal Castles,Atari,,16,,1983.0,Action,2657
Worms: Open Warfare,THQ,Team 17,17,E10+,2006.0,Strategy,2658
Puzzler World,Ubisoft,Ubisoft,4,E,2009.0,Puzzle,2659
Conker's Bad Fur Day,THQ,,12,,2001.0,Platform,2660
Dragon Warrior I&II,Enix Corporation,,3,,1999.0,Role-Playing,2661
Star Wars Episode II: Attack of the Clones,THQ,David A. Palmer Productions,9,E,2002.0,Action,2662
Ghost Squad,Sega,"Artificial Mind and Movement, Polygon Magic",1,T,2007.0,Shooter,2663
Conflict: Desert Storm II - Back to Bagdhad,SCi,,7,,2003.0,Shooter,2664
Maximo: Ghosts to Glory,Capcom,Capcom,7,T,2001.0,Platform,2665
Donkey Kong Country 3,Nintendo,Rare Ltd.,9,E,2005.0,Platform,2666
All-Star Baseball 2003,Acclaim Entertainment,Acclaim Studios Austin,7,E,2002.0,Sports,2667
Unlimited Saga,Atari,SquareSoft,7,T,2002.0,Role-Playing,2668
Pokemon Dash,Nintendo,Ambrella,4,E,2004.0,Racing,2669
Dragon Ball: Raging Blast,Namco Bandai Games,Spike,6,T,2009.0,Fighting,2670
Twisted Metal: Head On,Sony Computer Entertainment,Incognito Inc.,17,T,2005.0,Action,2671
Personal Trainer: Walking,Nintendo,Nintendo,4,E,2008.0,Sports,2672
Sonic Unleashed,Sega,Sonic Team,7,E10+,2008.0,Platform,2673
Cabela's Deer Hunt: 2004 Season,Activision Value,Sand Grain Studios,7,T,2003.0,Sports,2674
Formula 1,Psygnosis,,13,,1996.0,Racing,2675
Tetris Party Deluxe,Nintendo,"Tetris Online, Inc",4,E,2010.0,Puzzle,2676
Banjo-Kazooie: Nuts & Bolts,Microsoft Game Studios,,5,,2008.0,Platform,2677
FIFA 12,Electronic Arts,,1,,2011.0,Sports,2678
My Baby Girl,Nobilis,Dancing Dots,4,E,2008.0,Simulation,2679
Driv3r,Atari,Reflections Interactive,14,M,2004.0,Racing,2680
Mercenaries: Playground of Destruction,LucasArts,,7,,2005.0,Action,2681
The Walking Dead: Season One,Avanquest Software,,6,,2012.0,Adventure,2682
MTV Celebrity Deathmatch,Gotham Games,,7,,2003.0,Fighting,2683
Street Fighter Alpha: Warriors' Dreams,Virgin Interactive,,13,,1995.0,Fighting,2684
ISS Pro Evolution,Konami Digital Entertainment,KCET,13,E,1998.0,Sports,2685
Need For Speed: Undercover,Electronic Arts,Piranha Games,17,T,2008.0,Racing,2686
Metroid Prime Hunters,Nintendo,Nintendo,4,T,2006.0,Shooter,2687
Bayonetta 2,Nintendo,PlatinumGames,19,M,2014.0,Action,2688
Star Wars Battlefront: Elite Squadron,LucasArts,Savage Entertainment,17,T,2009.0,Shooter,2689
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,Sega,,5,,2010.0,Racing,2690
Tony Hawk's Pro Skater 2,Activision,,12,,2001.0,Sports,2691
Final Fantasy II,SquareSoft,,2,,1988.0,Role-Playing,2692
Taiko no Tatsujin: Tatakon de Dodon ga Don,Namco Bandai Games,,7,,2002.0,Misc,2693
