game_name,publisher,developer,platform_id,rating,year,genre,game_id
Halo 2,Microsoft Game Studios,Bungie Software,14,M,2004.0,Shooter,79
Wii Party,Nintendo,Nd Cube,1,E,2010.0,Misc,80
Mario Party 8,Nintendo,Hudson,1,E,2007.0,Misc,81
FIFA Soccer 13,Electronic Arts,Electronic Arts,6,E,2012.0,Action,82
GoldenEye 007,Nintendo,,12,,1997.0,Shooter,83
Pokemon Black 2/Pokemon White 2,Nintendo,,4,,2012.0,Role-Playing,84
Final Fantasy X,Sony Computer Entertainment,SquareSoft,7,T,2001.0,Role-Playing,85
The Sims 3,Electronic Arts,The Sims Studio,15,T,2009.0,Simulation,86
Mario & Sonic at the Olympic Games,Sega,,1,,2007.0,Sports,87
Star Wars Battlefront (2015),Electronic Arts,,10,,2015.0,Shooter,88
Final Fantasy VIII,SquareSoft,SquareSoft,13,T,1999.0,Role-Playing,89
Pac-Man,Atari,,16,,1982.0,Puzzle,90
Pokémon Platinum Version,Nintendo,Game Freak,4,E,2008.0,Role-Playing,91
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,Rockstar Leeds,17,M,2005.0,Action,92
Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,10,M,2014.0,Shooter,93
The Legend of Zelda: Ocarina of Time,Nintendo,,12,,1998.0,Action,94
FIFA 17,Electronic Arts,"EA Sports, EA Vancouver",10,E,2016.0,Sports,95
Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,,13,,1997.0,Platform,96
Super Smash Bros. for Wii U and 3DS,Nintendo,,11,,2014.0,Fighting,97
Super Mario Galaxy 2,Nintendo,Nintendo EAD Tokyo,1,E,2010.0,Platform,98
Super Mario Bros. 2,Nintendo,,2,,1988.0,Platform,99
Call of Duty: Black Ops 3,Activision,,18,,2015.0,Shooter,100
Call of Duty: World at War,Activision,Treyarch,5,M,2008.0,Shooter,101
Battlefield 3,Electronic Arts,EA DICE,5,M,2011.0,Shooter,102
Need for Speed Underground,Electronic Arts,EA Black Box,7,E,2003.0,Racing,103
Just Dance,Ubisoft,Ubisoft Paris,1,E10+,2009.0,Misc,104
Battlefield 3,Electronic Arts,EA DICE,6,M,2011.0,Shooter,105
Fallout 4,Bethesda Softworks,Bethesda Game Studios,10,M,2015.0,Role-Playing,106
Tekken 3,Sony Computer Entertainment,Namco,13,T,1998.0,Fighting,107
The Legend of Zelda: Twilight Princess,Nintendo,Nintendo,1,T,2006.0,Action,108
Pokemon Sun/Moon,Nintendo,,11,,2016.0,Role-Playing,109
Crash Bandicoot 3: Warped,Sony Computer Entertainment,Naughty Dog,13,E,1998.0,Platform,110
Mario Kart 8,Nintendo,Nintendo,19,E,2014.0,Racing,111
Super Smash Bros. Melee,Nintendo,HAL Labs,20,T,2001.0,Fighting,112
Mario Kart: Double Dash!!,Nintendo,,20,,2003.0,Racing,113
Need for Speed Underground 2,Electronic Arts,EA Canada,7,E,2004.0,Racing,114
Medal of Honor: Frontline,Electronic Arts,EA LA,7,T,2002.0,Shooter,115
Crash Bandicoot,Sony Computer Entertainment,,13,,1996.0,Platform,116
Just Dance 4,Ubisoft,Ubisoft,1,E10+,2012.0,Misc,117
Gears of War 2,Microsoft Game Studios,Epic Games,5,M,2008.0,Shooter,118
Uncharted 3: Drake's Deception,Sony Computer Entertainment,Naughty Dog,6,T,2011.0,Action,119
Zumba Fitness,505 Games,"Pipeworks Software, Inc.",1,E,2010.0,Sports,120
Call of Duty 4: Modern Warfare,Activision,Infinity Ward,6,M,2007.0,Shooter,121
Uncharted 2: Among Thieves,Sony Computer Entertainment,Naughty Dog,6,T,2009.0,Action,122
FIFA 12,Electronic Arts,,6,,2011.0,Sports,123
Big Brain Academy,Nintendo,Nintendo,4,E,2005.0,Misc,124
The Legend of Zelda,Nintendo,,2,,1986.0,Action,125
Red Dead Redemption,Take-Two Interactive,Rockstar San Diego,6,M,2010.0,Action,126
FIFA 14,Electronic Arts,EA Canada,6,E,2013.0,Sports,127
Assassin's Creed III,Ubisoft,Ubisoft,6,M,2012.0,Action,128
Donkey Kong Country Returns,Nintendo,Retro Studios,1,E,2010.0,Platform,129
Halo: Combat Evolved,Microsoft Game Studios,Bungie Software,14,M,2001.0,Shooter,130
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,6,M,2011.0,Role-Playing,131
Pokémon Emerald Version,Nintendo,Game Freak,9,E,2004.0,Role-Playing,132
Kingdom Hearts,Sony Computer Entertainment,SquareSoft,7,E,2002.0,Role-Playing,133
Pokémon Crystal Version,Nintendo,,3,,2000.0,Role-Playing,134
Halo 3: ODST,Microsoft Game Studios,"Bungie Software, Bungie",5,M,2009.0,Shooter,135
Red Dead Redemption,Take-Two Interactive,Rockstar San Diego,5,M,2010.0,Action,136
